"report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"170189","2017-01-03 17:00:00","243","8600"," ","MIRAMAR","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","3","0",""
"170165","2017-01-03 17:00:00","515","2600"," ","MARKET","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170100","2017-01-03 17:15:00","321","5800"," ","FAIRMOUNT","AVENUE"," "," "," ","21755","VC","PASS ON THE RIGHT SAFELY","0","0","MISDEMEANOR"
"170188","2017-01-03 18:42:00","242","0"," ","KIKA","COURT"," ","MERCY","ROAD","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"170177","2017-01-03 19:39:00","624","1900"," ","MADISON","AVENUE"," "," "," ","21950A","VC","YIELD RIGHT OF WAY TO PEDESTRIANS","1","0","MISDEMEANOR"
"170341","2017-01-03 19:40:00","122","1600"," ","GARNET","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170194","2017-01-03 21:34:00","522","100"," ","MARKET","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"170107","2017-01-03 22:36:00","516","500"," ","33RD","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170167","2017-01-04 00:01:00","441","3900"," ","HEMLOCK","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170155","2017-01-04 02:37:00","723","1200"," ","PICCARD","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170192","2017-01-04 06:45:00","242","8000"," ","PORT ROYALE","DRIVE"," "," "," ","21950A","VC","YIELD RIGHT OF WAY TO PEDESTRIANS","1","0",""
"170173","2017-01-04 08:04:00","437","7300"," ","PARADISE VALLEY","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","2","0",""
"170542","2017-01-04 08:07:00","122","1700"," ","GARNET","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0",""
"170161","2017-01-04 08:09:00","622","1300"," ","MORENA","BOULEVARD"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","0","0","MISDEMEANOR"
"170383","2017-01-04 09:00:00","813","3900"," ","30TH","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170970","2017-01-04 09:02:00","627","3900"," ","05TH","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170280","2017-01-04 10:30:00","528","500","W","GRAPE","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170171","2017-01-04 10:50:00","821","0"," ","70TH","STREET"," ","MOHAWK","STREET","21801A","VC","LEFT TURN YIELD UNTIL SAFE OR U-TURN","2","0",""
"170164","2017-01-04 13:20:00","841","3400"," ","COLLEGE","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170373","2017-01-04 14:14:00","621","7100"," ","FULTON","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"170195","2017-01-04 15:30:00","315","1400"," ","CAM DE LA REINA"," "," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"170191","2017-01-04 15:30:00","234","11500"," ","RANCHO BERNARDO","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170230","2017-01-04 15:45:00","232","12000"," ","WORLD TRADE","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170491","2017-01-04 16:20:00","821","4700"," ","ROLANDO","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"170172","2017-01-04 17:10:00","311","3500"," ","RUFFIN","ROAD"," "," "," ","21802A","VC","ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE","1","0",""
"170200","2017-01-04 17:15:00","122","1300"," ","MISSOURI","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170371","2017-01-04 17:20:00","124","500"," ","PALOMAR","AVENUE"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","0","0",""
"170243","2017-01-04 17:30:00","124","2500"," ","TORREY PINES","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"170264","2017-01-04 17:31:00","931","10700"," ","VISTA SORRENTO","PARKWAY"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","2","0",""
"170190","2017-01-04 18:28:00","231","0"," "," I-15 NB"," "," ","POWAY","ROAD","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"170455","2017-01-04 20:00:00","821","6700"," ","EL CAJON","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170235","2017-01-04 20:53:00","833","0"," ","CHAMOUNE","AVENUE"," ","WIGHTMAN","STREET","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","1","0","MISDEMEANOR"
"170213","2017-01-04 20:54:00","828","4800"," ","CASTLE","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170254","2017-01-04 20:57:00","311","3100"," ","MISSION VILLAGE","DRIVE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"170159","2017-01-04 20:58:00","839","0"," ","WIGHTMAN","STREET"," ","WILSON","AVENUE","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","0","0","MISDEMEANOR"
"170300","2017-01-04 22:07:00","437","2100"," ","ALTA VIEW","DRIVE"," "," "," ","21651B","VC","DRIVE THE WRONG WAY ON A DIVIDED HIGHWAY","0","0","MISDEMEANOR"
"170346","2017-01-05 00:01:00","116","2900"," ","LLOYD","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170666","2017-01-05 03:11:00","626","3500"," ","INDIA","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"170299","2017-01-05 07:30:00","437","6900"," ","PARADISE VALLEY","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","1","0",""
"170458","2017-01-05 07:50:00","511","2800"," ","MAIN","STREET"," "," "," ","21658A","VC","LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING","0","0","MISDEMEANOR"
"180393","2017-01-05 08:30:00","931","3800"," ","SORRENTO VALLEY","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
"170360","2017-01-05 08:48:00","241","7400"," ","MIRAMAR"," "," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","2","0",""
"171172","2017-01-05 09:00:00","233","14100"," ","CUCA","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170196","2017-01-05 09:38:00","524","100"," ","ASH","STREET"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"170541","2017-01-05 09:55:00","516","500"," ","32ND","STREET"," "," "," ","21460A","VC","DRIVING TO LEFT OF DOUBLE SOLID LINES","0","0",""
"170187","2017-01-05 10:43:00","241","9900"," ","AVIARY","DRIVE"," "," "," ","21801A","VC","LEFT TURN YIELD UNTIL SAFE OR U-TURN","2","0",""
"180418","2017-01-05 10:46:00","114","4800"," ","CLAIREMONT","DRIVE"," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","1","0",""
"170350","2017-01-05 11:00:00","241","9800"," ","MIRA MESA","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170335","2017-01-05 11:00:00","627","3900"," ","09TH","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","2","0",""
"170284","2017-01-05 11:20:00","232","11500"," ","CARMEL MTN","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170233","2017-01-05 11:27:00","934","5700"," ","CARMEL VALLEY","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170193","2017-01-05 12:30:00","315","2000"," ","CAM DEL RIO"," "," "," "," ","22106","VC","STARTING PARKED VEHICLES OR BACKING","2","0",""
"170184","2017-01-05 12:55:00","614","2300"," ","EBERS","STREET"," "," "," ","21802A","VC","ENTRANCE FROM STOP THROUGH HIGHWAYYIELD UNTIL REASONABLY SAFE","1","0",""
"170259","2017-01-05 13:25:00","241","8400"," ","KEARNY VILLA","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170258","2017-01-05 14:19:00","627","1200"," ","UNIVERSITY","AVENUE"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","1","0",""
"170315","2017-01-05 15:00:00","313","7800"," ","OTHELLO","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170215","2017-01-05 15:35:00","826","4300"," ","53RD","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170186","2017-01-05 15:40:00","627","4200"," ","BACHMAN","PLACE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
